HDI Rank,Country,1980,1985,1990,1995,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013
184,Chad,..,..,..,..,0.186407478,0.203074144,0.210481552,0.217888959,0.225296367,0.236407478,0.236407478,0.255851922,0.255851922,0.255851922
41,Chile,0.527855556,0.575733333,0.625014815,0.615244444,0.6501,0.707038572,0.705270036,0.717390389,0.739643764,0.737103955,0.740119701,0.745675257,0.745675257,0.745675257
91,China,0.3582,0.366055556,0.406144444,0.436044444,0.477638889,0.531396296,0.543902222,0.561037778,0.575395556,0.589753333,0.598555556,0.609666667,0.609666667,0.609666667
98,Colombia,0.386511111,0.406322222,0.438777778,0.489211111,0.536111111,0.573710256,0.579647403,0.591067256,0.603385205,0.609410885,0.610555744,0.613333522,0.602222411,0.602222411
159,Comoros,..,..,..,..,..,0.401808644,0.408753089,0.415697533,0.422641978,0.429586422,0.436530867,0.443475311,0.450419756,0.450419756
140,Congo,0.440066667,0.463688889,0.456244444,0.444511111,0.409933333,0.459023457,0.467016296,0.475009136,0.483001975,0.490994815,0.498987654,0.505160494,0.511333333,0.511333333
186,Congo (Democratic Republic of the),0.241411111,0.2493,0.253201587,0.271866667,0.297203704,0.316074074,0.319714815,0.323355556,0.345977778,0.349155556,0.355111111,0.360666667,0.371777778,0.371777778
68,Costa Rica,0.445466667,0.463555556,0.503422222,0.545583333,0.584159259,0.593622222,0.602415059,0.611207897,0.627481853,0.63728311,0.640488946,0.651884651,0.653921604,0.653921604
171,Cote d'Ivoire,0.204144444,0.217311111,0.231888889,0.260944444,0.301916667,0.342555556,0.350916667,0.359277778,0.367638889,0.376,0.384361111,0.389222222,0.389222222,0.389222222
47,Croatia,..,..,0.497396319,0.553154104,0.655828791,0.70837033,0.718697688,0.729025045,0.736574626,0.744124206,0.760007119,0.770334477,0.770334477,0.770334477
44,Cuba,0.553177778,0.586022222,0.6245,0.620488889,0.660155556,0.735122222,0.770562222,0.803224444,0.81922,0.818548889,0.7901,0.767877778,0.742877778,0.742877778
32,Cyprus,0.465133333,0.512744444,0.545588889,0.654655556,0.676164902,0.731007581,0.739863441,0.751497078,0.765124872,0.778406143,0.764748881,0.770811197,0.776198377,0.776198377
28,Czech Republic,..,0.688988889,0.692722222,0.725577778,0.782677778,0.850088889,0.84776,0.853764444,0.851435556,0.860217778,0.863444444,0.866222222,0.866222222,0.866222222
10,Denmark,0.672218889,0.703861111,0.71133,0.751004444,0.803716278,0.864254799,0.863191273,0.864905524,0.866619775,0.868334026,0.872826055,0.872826055,0.872826055,0.872826055
170,Djibouti,..,..,..,..,..,0.247544444,0.2531,0.266988889,0.2781,0.283655556,0.294766667,0.305877778,0.305877778,0.305877778
